date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:18:14	24/24	---M--	200	added ('OK')	text/plain	date:Fri,%2022%20Sep%202023%2013:08:58%20GMT	https://www.santus.fireart.pro/robots.txt		(from )
15:18:15	72674/72674	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Oct%202025%2014:16:49%20GMT	https://www.santus.fireart.pro/	C:/My%20Web%20Sites/clone%20viii/www.santus.fireart.pro/index.html	(from )
15:18:16	47/47	---M--	302	error ('Found')	text/plain	date:Fri,%2024%20Oct%202025%2014:16:51%20GMT	https://unpkg.com/alpinejs@3.x.x/dist/cdn.min.js	C:/My%20Web%20Sites/clone%20viii/unpkg.com/alpinejs@3.x.x/dist/cdn.min.0.delayed	(from https://www.santus.fireart.pro/)
15:18:17	44799/44799	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2022%20Oct%202025%2017:21:19%20GMT	https://unpkg.com/alpinejs@3.15.0/dist/cdn.min.js	C:/My%20Web%20Sites/clone%20viii/unpkg.com/alpinejs@3.15.0/dist/cdn.min.js	(from https://www.santus.fireart.pro/)
15:18:17	48/48	---MCZ	404	error ('Not%20Found')	text/plain	date:Fri,%2024%20Oct%202025%2014:16:52%20GMT	https://unpkg.com/heroicons@2.0.16/24/outline/index.js	C:/My%20Web%20Sites/clone%20viii/unpkg.com/heroicons@2.0.16/24/outline/index.2.delayed	(from https://www.santus.fireart.pro/)
15:18:18	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	C:/My%20Web%20Sites/clone%20viii/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://www.santus.fireart.pro/)
15:18:20	75669/75669	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Aug%202025%2006:54:56%20GMT	https://www.santus.fireart.pro/storage/app/public/photos/AO9pLkcxF90TvBaf1qgaze4YwHecEuVjnKqk8MxX.png	C:/My%20Web%20Sites/clone%20viii/www.santus.fireart.pro/storage/app/public/photos/AO9pLkcxF90TvBaf1qgaze4YwHecEuVjnKqk8MxX.png	(from https://www.santus.fireart.pro/)
15:18:21	58305/58305	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Oct%202025%2014:16:56%20GMT	https://www.santus.fireart.pro/about	C:/My%20Web%20Sites/clone%20viii/www.santus.fireart.pro/about.html	(from https://www.santus.fireart.pro/)
15:18:21	75669/75669	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Aug%202025%2006:54:56%20GMT	https://www.santus.fireart.pro/storage/app/public/photos/BaVxSumYJuZn3ueBiAJnPZQrOYGrcvhGxS6v84Uw.png	C:/My%20Web%20Sites/clone%20viii/www.santus.fireart.pro/storage/app/public/photos/BaVxSumYJuZn3ueBiAJnPZQrOYGrcvhGxS6v84Uw.png	(from https://www.santus.fireart.pro/)
15:18:23	59146/59146	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Oct%202025%2014:16:58%20GMT	https://www.santus.fireart.pro/services	C:/My%20Web%20Sites/clone%20viii/www.santus.fireart.pro/services.html	(from https://www.santus.fireart.pro/)
